# Electric Meter Monitor
# Date,2026-04-14 11:51:52
# SampleInterval,400
# Rows,269
# Signal,0,Voltage,V,FF1E90FF,1
# Signal,1,Current,A,FF00DC96,0
# Signal,2,P Active,W,FFFFB932,2
# Signal,3,Q React.,VAR,FFFF6432,2
# Signal,4,S Apprt.,VA,FFC882FF,2
# Signal,5,PF,PF,FFFF6E6E,2
# Signal,6,Frequency,Hz,FF8CC8FF,4
# Signal,7,Phase Dir,,FFFFDC00,4
# Signal,8,THDi 1,%,FF00DC78,3
# Signal,9,THDi 2,%,FF00BE5F,3
# Signal,10,THDi N,%,FF00FAAA,3
# Signal,11,THDu 1N,%,FF6EB9FF,3
# Signal,12,THDu 2N,%,FF8CD2FF,3
# Signal,13,Current L1,A,FF00C88C,0
# Signal,14,Current L2,A,FF00AA78,0
# Signal,15,Current N,A,FF006E50,0
# Signal,16,Voltage 1N,V,FF82C8FF,1
# Signal,17,Voltage 2N,V,FF96D7FF,1
# Signal,18,P Active L1,W,FFFFC850,2
# Signal,19,P Active L2,W,FFEBB43C,2
# Signal,20,Q React. L1,VAR,FFFF8250,2
# Signal,21,Q React. L2,VAR,FFEB6E3C,2
# Signal,22,S Apprt. L1,VA,FFDC96FF,2
# Signal,23,S Apprt. L2,VA,FFC882EB,2
# Signal,24,PF L1,PF,FFFF8282,2
# Signal,25,PF L2,PF,FFEB6E6E,2
# Signal,26,Angle U1-2,°,FFC8FFC8,4
# Signal,27,Angle U2-3,°,FFB4EBB4,4
# Signal,28,Angle U3-1,°,FFA0D7A0,4
# Signal,29,ePack V Line,V,FF64DCB4,5
# Signal,30,ePack I rms,A,FF00C88C,5
# Signal,31,ePack Iburst,A,FF00AA6E,5
# Signal,32,ePack I,A,FF008C5A,5
# Signal,33,ePack Vrms,V,FF50B4FF,5
# Signal,34,ePack V,V,FF3C96EB,5
# Signal,35,ePack P burst,W,FFFFD250,5
# Signal,36,ePack P,W,FFFFB932,5
# Signal,37,ePack S,VA,FFC882FF,5
# Signal,38,ePack PF,PF,FFFF6E6E,5
# Signal,39,ePack Z,Ohm,FFB4B464,5
# Signal,40,ePack Frequency,Hz,FF8CC8FF,5
# Signal,41,ePack V burst,V,FF2878D7,5
Time (s),Voltage (V),Current (A),P Active (W),Q React. (VAR),S Apprt. (VA),PF (PF),Frequency (Hz),Phase Dir,THDi 1 (%),THDi 2 (%),THDi N (%),THDu 1N (%),THDu 2N (%),Current L1 (A),Current L2 (A),Current N (A),Voltage 1N (V),Voltage 2N (V),P Active L1 (W),P Active L2 (W),Q React. L1 (VAR),Q React. L2 (VAR),S Apprt. L1 (VA),S Apprt. L2 (VA),PF L1 (PF),PF L2 (PF),Angle U1-2 (°),Angle U2-3 (°),Angle U3-1 (°),ePack V Line (V),ePack I rms (A),ePack Iburst (A),ePack I (A),ePack Vrms (V),ePack V (V),ePack P burst (W),ePack P (W),ePack S (VA),ePack PF (PF),ePack Z (Ohm),ePack Frequency (Hz),ePack V burst (V)
0.1187335,238.11,0,0,0,0,1,50.03,-1,0,0,0.6,2.1,2.1,0,0,0,237.54,238.71,0,0,0,0,0,0,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3993799,238.2,0,0,0,0,1,50.03,-1,0,0,0.6,2.1,2.1,0,0,0,237.7,238.76,0,0,0,0,0,0,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8050363,238.2,0,0,0,0,1,50.03,-1,0,0,0.6,2.1,2.2,0,0,0,237.7,238.76,0,0,0,0,0,0,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
1.215197,237.96,0,0,0,0,1,50.03,-1,0.5,1.1,2.4,2.1,2.2,0,0,0,237.41,238.56,0,0,0,0,0,0,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6175121,237.85,0,0,0,0,1,50.03,-1,0.5,1.1,2.4,2.2,2.2,0,0,0,237.34,238.43,0,0,0,0,0,0,1,1,121,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
2.023986,237.68,0,0,0,0,1,50.03,-1,1,0,0.3,2.2,2.2,0,0,0,237.12,238.31,0,0,0,0,0,0,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4332645,237.63,0,0,0,0,1,50.03,-1,1,0,0.3,2.2,2.2,0,0,0,237.1,238.25,0,0,0,0,0,0,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
2.8383927,237.67,0,0,0,0,1,50.03,-1,1.4,2.2,0.3,2.2,2.2,0,0,0,237.1,238.31,0,0,0,0,0,0,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2547641,237.96,0,0,0,0,1,50.03,-1,1.4,2.2,1.8,2.2,2.2,0,0,0,237.41,238.56,0,0,0,0,0,0,1,1,121,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
3.643943,237.96,0,0,0,0,1,50.03,-1,1.4,2.2,1.8,2.2,2.2,0,0,0,237.41,238.56,0,0,0,0,0,0,1,1,121,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0580742,238.25,0,0,0,0,1,50.03,-1,0.3,1.5,1.1,2.2,2.2,0,0,0,237.67,238.86,0,0,0,0,0,0,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
4.4624391,238.33,0,0,0,0,1,50.03,-1,0.3,1.5,1.1,2.2,2.2,0,0,0,237.78,238.91,0,0,0,0,0,0,1,1,121,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
4.8678683,238.23,0,0,0,0,1,50.03,-1,0,0.5,1.1,2.2,2.2,0,0,0,237.63,238.86,0,0,0,0,0,0,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2798862,238.43,0,0,0,0,1,50.03,-1,0,0.5,0,2.2,2.2,0,0,0,237.87,239.08,0,0,0,0,0,0,1,1,121,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
