# Electric Meter Monitor
# Date,2026-04-09 15:52:46
# SampleInterval,400
# Rows,305
# Signal,0,Voltage,V,FF1E90FF,1
# Signal,1,Current,A,FF00DC96,0
# Signal,2,P Active,W,FFFFB932,2
# Signal,3,Q React.,VAR,FFFF6432,2
# Signal,4,S Apprt.,VA,FFC882FF,2
# Signal,5,PF,PF,FFFF6E6E,2
# Signal,6,Frequency,Hz,FF8CC8FF,4
# Signal,7,Phase Dir,,FFFFDC00,4
# Signal,8,THDi 1,%,FF00DC78,3
# Signal,9,THDi 2,%,FF00BE5F,3
# Signal,10,THDi 3,%,FF00A046,3
# Signal,11,THDi N,%,FF00FAAA,3
# Signal,12,THDu 1N,%,FF6EB9FF,3
# Signal,13,THDu 2N,%,FF8CD2FF,3
# Signal,14,THDu 3N,%,FFAAE6FF,3
# Signal,15,Current L1,A,FF00C88C,0
# Signal,16,Current L2,A,FF00AA78,0
# Signal,17,Current L3,A,FF008C64,0
# Signal,18,Current N,A,FF006E50,0
# Signal,19,Voltage 1N,V,FF82C8FF,1
# Signal,20,Voltage 2N,V,FF96D7FF,1
# Signal,21,Voltage 3N,V,FFAAE6FF,1
# Signal,22,P Active L1,W,FFFFC850,2
# Signal,23,Q React. L1,VAR,FFFF8250,2
# Signal,24,S Apprt. L1,VA,FFDC96FF,2
# Signal,25,PF L1,PF,FFFF8282,2
# Signal,26,PF L2,PF,FFEB6E6E,2
# Signal,27,PF L3,PF,FFD75A5A,2
# Signal,28,Angle U1-2,°,FFC8FFC8,4
# Signal,29,Angle U2-3,°,FFB4EBB4,4
# Signal,30,Angle U3-1,°,FFA0D7A0,4
# Signal,31,ePack V Line,V,FF64DCB4,5
# Signal,32,ePack I rms,A,FF00C88C,5
# Signal,33,ePack Iburst,A,FF00AA6E,5
# Signal,34,ePack I,A,FF008C5A,5
# Signal,35,ePack Vrms,V,FF50B4FF,5
# Signal,36,ePack V,V,FF3C96EB,5
# Signal,37,ePack P burst,W,FFFFD250,5
# Signal,38,ePack P,W,FFFFB932,5
# Signal,39,ePack S,VA,FFC882FF,5
# Signal,40,ePack PF,PF,FFFF6E6E,5
# Signal,41,ePack Z,Ohm,FFB4B464,5
# Signal,42,ePack Frequency,Hz,FF8CC8FF,5
# Signal,43,ePack V burst,V,FF2878D7,5
Time (s),Voltage (V),Current (A),P Active (W),Q React. (VAR),S Apprt. (VA),PF (PF),Frequency (Hz),Phase Dir,THDi 1 (%),THDi 2 (%),THDi 3 (%),THDi N (%),THDu 1N (%),THDu 2N (%),THDu 3N (%),Current L1 (A),Current L2 (A),Current L3 (A),Current N (A),Voltage 1N (V),Voltage 2N (V),Voltage 3N (V),P Active L1 (W),Q React. L1 (VAR),S Apprt. L1 (VA),PF L1 (PF),PF L2 (PF),PF L3 (PF),Angle U1-2 (°),Angle U2-3 (°),Angle U3-1 (°),ePack V Line (V),ePack I rms (A),ePack Iburst (A),ePack I (A),ePack Vrms (V),ePack V (V),ePack P burst (W),ePack P (W),ePack S (VA),ePack PF (PF),ePack Z (Ohm),ePack Frequency (Hz),ePack V burst (V)
0.3331105,236,0,0,0,0,1,49.96,-1,0,0.6,0.4,0.8,2.2,2.3,2.1,0,0,0,0,235.54,236.88,235.63,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6582387,236,0,0,0,0,1,49.96,-1,0,0.6,0.4,3.7,2.2,2.3,2.1,0,0,0,0,235.54,236.88,235.63,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0781784,236.09,0,0,0,0,1,49.96,-1,0,0.6,0.4,3.7,2.2,2.3,2.2,0,0,0,0,235.54,236.92,235.87,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4666836,236.24,0,0,0,0,1,49.96,-1,0,0,0.7,1.4,2.2,2.3,2.2,0,0,0,0,235.83,237.1,235.83,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8871378,236.42,0,0,0,0,1,49.96,-1,0,0,0.7,1.4,2.2,2.3,2.2,0,0,0,0,235.91,237.26,236.13,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2772268,236.33,0,0,0,0,1,49.96,-1,0,0.6,0.8,1.4,2.2,2.3,2.1,0,0,0,0,235.96,237.15,235.93,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6825846,236.26,0,0,0,0,1,49.96,-1,0,0.6,0.8,3.2,2.2,2.3,2.1,0,0,0,0,235.71,237.12,235.98,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0914815,236.15,0,0,0,0,1,49.96,-1,0.2,0.6,0.8,3.2,2.1,2.3,2,0,0,0,0,235.71,236.99,235.78,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5119981,236.15,0,0,0,0,1,49.96,-1,0.2,0.7,0.8,2.4,2.1,2.3,2,0,0,0,0,235.71,236.99,235.78,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
3.9001837,236.18,0,0,0,0,1,49.96,-1,0.2,0.7,0.8,2.4,2.1,2.2,1.9,0,0,0,0,235.62,237.06,235.93,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3197969,236.11,0,0,0,0,1,49.96,-1,0,1.6,1,2.3,2.1,2.2,1.9,0,0,0,0,235.83,236.81,235.72,0,0,0,1,1,1,121,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
4.7076942,236.11,0,0,0,0,1,49.96,-1,0,1.6,1,2.3,2.1,2.2,1.9,0,0,0,0,235.56,236.93,235.89,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1172594,235.93,0,0,0,0,1,49.96,-1,0,0,1,2.3,2.1,2.2,2,0,0,0,0,235.65,236.6,235.58,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5294237,235.93,0,0,0,0,1,49.96,-1,0,0,0.6,2.6,2.1,2.2,2,0,0,0,0,235.36,236.81,235.67,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
5.940729,235.93,0,0,0,0,1,49.96,-1,0,0,0.6,2.6,2.1,2.1,2,0,0,0,0,235.36,236.81,235.67,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3379485,235.85,0,0,0,0,1,49.96,-1,0,2.1,0.8,0,2.1,2.1,2,0,0,0,0,235.49,236.59,235.54,0,0,0,1,1,1,120,121,120,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7513033,235.96,0,0,0,0,1,49.96,-1,0,2.1,0.8,0,2.1,2.2,2,0,0,0,0,235.4,236.84,235.67,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1460377,235.74,0,0,0,0,1,49.96,-1,0,0,0.8,1.5,2.1,2.2,2,0,0,0,0,235.41,236.48,235.4,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5577859,235.67,0,0,0,0,1,49.96,-1,0,0,0.8,1.5,2.3,2.2,2,0,0,0,0,235.16,236.49,235.41,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
7.9638466,235.78,0,0,0,0,1,49.95,-1,0,1.8,0.8,1.5,2.3,2.4,2.2,0,0,0,0,235.36,236.51,235.49,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3745522,236.07,0,0,0,0,1,49.95,-1,0,1.8,1,3,2.3,2.4,2.2,0,0,0,0,235.54,236.97,235.74,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7986163,236.07,0,0,0,0,1,49.95,-1,0,1.8,1,3,2.3,2.3,2,0,0,0,0,235.54,236.97,235.74,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
9.1826223,236.18,0,0,0,0,1,49.95,-1,0,0.7,0.5,2.4,2.3,2.3,2,0,0,0,0,235.82,236.86,235.91,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
9.6025477,236.15,0,0,0,0,1,49.95,-1,0,0.7,0.5,2.4,2.2,2.2,2.1,0,0,0,0,235.65,236.95,235.85,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9934039,236.2,0,0,0,0,1,49.95,-1,0,2,0.6,2.4,2.2,2.2,2.1,0,0,0,0,235.74,236.95,235.94,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
10.4034299,236.42,0,0,0,0,1,49.95,-1,0,2,0.6,4,2.2,2.2,2.1,0,0,0,0,235.91,237.32,236.05,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
10.8071105,236.44,0,0,0,0,1,49.96,-1,0,2,0.6,4,2.2,2.3,2,0,0,0,0,235.98,237.23,236.15,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
11.2112901,236.44,0,0,0,0,1,49.96,-1,0,0.7,1.3,2.4,2.2,2.3,2,0,0,0,0,235.98,237.23,236.15,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
11.6165288,236.46,0,0,0,0,1,49.96,-1,0,0.7,1.3,2.4,2.3,2.3,2.1,0,0,0,0,236.02,237.26,236.13,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0364373,236.57,0,0,0,0,1,49.96,-1,0,0,0.9,0.3,2.3,2.3,2.1,0,0,0,0,236.07,237.32,236.33,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
12.4269788,236.51,0,0,0,0,1,49.96,-1,0,0,0.9,0.3,2.2,2.2,2.1,0,0,0,0,236.04,237.39,236.13,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
12.8310013,236.37,0,0,0,0,1,49.96,-1,0.6,0.7,0.8,0.3,2.2,2.2,2,0,0,0,0,235.8,237.23,236.13,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
13.2408651,236.26,0,0,0,0,1,49.96,-1,0.6,0.7,0.8,2.1,2.2,2.2,2,0,0,0,0,235.83,237.13,235.85,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
13.6669367,236.35,0,0,0,0,1,49.96,-1,0.5,0.7,0.8,2.1,2.2,2.3,2,0,0,0,0,235.87,237.15,236.07,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0490851,236.35,0,0,0,0,1,49.96,-1,0.5,1.2,1.3,4.8,2.2,2.3,2,0,0,0,0,235.87,237.15,236.07,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
14.4648555,236.31,0,0,0,0,1,49.96,-1,0.5,1.2,1.3,4.8,2.1,2.1,2,0,0,0,0,235.98,237.04,235.93,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
14.8893505,236.24,0,0,0,0,1,49.96,-1,1.1,1.7,1.2,3,2.1,2.1,2,0,0,0,0,235.74,237.06,235.96,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
15.2727389,235.98,0,0,0,0,1,49.96,-1,1.1,1.7,1.2,3,2.2,2.1,2,0,0,0,0,235.67,236.73,235.6,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
15.679702,236,0,0,0,0,1,49.96,-1,0,0.6,1.2,3,2.2,2.2,2.1,0,0,0,0,235.41,236.86,235.74,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0940125,235.96,0,0,0,0,1,49.96,-1,0,0.6,1.2,2.2,2.2,2.2,2.1,0,0,0,0,235.65,236.73,235.56,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
16.4953367,235.96,0,0,0,0,1,49.96,-1,0,0.6,1.2,2.2,2.2,2.2,2,0,0,0,0,235.65,236.73,235.56,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
16.8997135,236.16,0,0,0,0,1,49.96,-1,0,0,0.6,0,2.2,2.2,2,0,0,0,0,235.63,237.06,235.83,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
17.3224555,236.18,0,0,0,0,1,49.96,-1,0,0,0.6,0,2.1,2.2,2,0,0,0,0,235.94,236.9,235.74,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
17.7400801,236.37,0,0,0,0,1,49.96,-1,0,2,0.8,0,2.1,2.2,2,0,0,0,0,235.83,237.23,236.05,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1135648,236.44,0,0,0,0,1,49.96,-1,0,2,0.8,0,2.1,2.2,2,0,0,0,0,236.2,237.13,236.04,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
18.533036,236.64,0,0,0,0,1,49.96,-1,0,0.1,0.8,0,2.1,2.2,1.9,0,0,0,0,236.15,237.46,236.35,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
18.9433578,236.59,0,0,0,0,1,49.96,-1,0,0.1,0.5,2.1,2.1,2.2,1.9,0,0,0,0,236.38,237.13,236.27,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
19.3631521,236.59,0,0,0,0,1,49.96,-1,0,0.1,0.5,2.1,2.1,2.1,1.9,0,0,0,0,236.38,237.13,236.27,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
