# Electric Meter Monitor
# Date,2026-04-13 11:28:59
# SampleInterval,400
# Rows,325
# Signal,0,Voltage,V,FF1E90FF,1
# Signal,1,Current,A,FF00DC96,0
# Signal,2,P Active,W,FFFFB932,2
# Signal,3,Q React.,VAR,FFFF6432,2
# Signal,4,S Apprt.,VA,FFC882FF,2
# Signal,5,PF,PF,FFFF6E6E,2
# Signal,6,Frequency,Hz,FF8CC8FF,4
# Signal,7,Phase Dir,,FFFFDC00,4
# Signal,8,THDi 1,%,FF00DC78,3
# Signal,9,THDi 2,%,FF00BE5F,3
# Signal,10,THDi 3,%,FF00A046,3
# Signal,11,THDi N,%,FF00FAAA,3
# Signal,12,THDu 1N,%,FF6EB9FF,3
# Signal,13,THDu 2N,%,FF8CD2FF,3
# Signal,14,THDu 3N,%,FFAAE6FF,3
# Signal,15,Current L1,A,FF00C88C,0
# Signal,16,Current L2,A,FF00AA78,0
# Signal,17,Current L3,A,FF008C64,0
# Signal,18,Current N,A,FF006E50,0
# Signal,19,Voltage 1N,V,FF82C8FF,1
# Signal,20,Voltage 2N,V,FF96D7FF,1
# Signal,21,Voltage 3N,V,FFAAE6FF,1
# Signal,22,P Active L1,W,FFFFC850,2
# Signal,23,Q React. L1,VAR,FFFF8250,2
# Signal,24,S Apprt. L1,VA,FFDC96FF,2
# Signal,25,PF L1,PF,FFFF8282,2
# Signal,26,PF L2,PF,FFEB6E6E,2
# Signal,27,PF L3,PF,FFD75A5A,2
# Signal,28,Angle U1-2,°,FFC8FFC8,4
# Signal,29,Angle U2-3,°,FFB4EBB4,4
# Signal,30,Angle U3-1,°,FFA0D7A0,4
# Signal,31,ePack V Line,V,FF64DCB4,5
# Signal,32,ePack I rms,A,FF00C88C,5
# Signal,33,ePack Iburst,A,FF00AA6E,5
# Signal,34,ePack I,A,FF008C5A,5
# Signal,35,ePack Vrms,V,FF50B4FF,5
# Signal,36,ePack V,V,FF3C96EB,5
# Signal,37,ePack P burst,W,FFFFD250,5
# Signal,38,ePack P,W,FFFFB932,5
# Signal,39,ePack S,VA,FFC882FF,5
# Signal,40,ePack PF,PF,FFFF6E6E,5
# Signal,41,ePack Z,Ohm,FFB4B464,5
# Signal,42,ePack Frequency,Hz,FF8CC8FF,5
# Signal,43,ePack V burst,V,FF2878D7,5
Time (s),Voltage (V),Current (A),P Active (W),Q React. (VAR),S Apprt. (VA),PF (PF),Frequency (Hz),Phase Dir,THDi 1 (%),THDi 2 (%),THDi 3 (%),THDi N (%),THDu 1N (%),THDu 2N (%),THDu 3N (%),Current L1 (A),Current L2 (A),Current L3 (A),Current N (A),Voltage 1N (V),Voltage 2N (V),Voltage 3N (V),P Active L1 (W),Q React. L1 (VAR),S Apprt. L1 (VA),PF L1 (PF),PF L2 (PF),PF L3 (PF),Angle U1-2 (°),Angle U2-3 (°),Angle U3-1 (°),ePack V Line (V),ePack I rms (A),ePack Iburst (A),ePack I (A),ePack Vrms (V),ePack V (V),ePack P burst (W),ePack P (W),ePack S (VA),ePack PF (PF),ePack Z (Ohm),ePack Frequency (Hz),ePack V burst (V)
0.3428812,235.6,0,0,0,0,1,50.02,-1,0,1.3,0.3,2,1.6,1.7,1.5,0,0,0,0,235.43,235.91,235.51,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
0.675244,235.3,0,0,0,0,1,50.02,-1,0,1.3,0.3,2,1.6,1.7,1.5,0,0,0,0,235.14,235.62,235.19,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9829717,235.08,0,0,0,0,1,50.02,-1,0,1.5,0.3,2,1.6,1.7,1.5,0,0,0,0,234.9,235.38,235.03,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3670624,235.08,0,0,0,0,1,50.02,-1,0,1.5,0.9,3,1.6,1.7,1.5,0,0,0,0,234.9,235.38,235.03,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7597418,235.18,0,0,0,0,1,50.02,-1,0,1.5,0.9,3,1.6,1.7,1.5,0,0,0,0,234.99,235.49,235.08,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1743258,235.23,0,0,0,0,1,50.02,-1,0,1,0.7,0,1.6,1.7,1.5,0,0,0,0,235.01,235.54,235.18,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5952118,235.08,0,0,0,0,1,50.02,-1,0,1,0.7,0,1.6,1.7,1.5,0,0,0,0,234.81,235.43,235.03,0,0,0,1,1,1,121,119,120,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9826722,234.86,0,0,0,0,1,50.02,-1,0,1.4,0.6,0,1.6,1.7,1.6,0,0,0,0,234.42,235.29,234.9,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3815638,234.86,0,0,0,0,1,50.02,-1,0,1.4,0.6,1.8,1.6,1.7,1.6,0,0,0,0,234.61,235.25,234.77,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
3.808766,234.88,0,0,0,0,1,50.02,-1,1.2,1.4,0.6,1.8,1.7,1.7,1.6,0,0,0,0,234.66,235.25,234.77,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2182875,234.88,0,0,0,0,1,50.02,-1,1.2,0.8,0.9,1.8,1.7,1.7,1.6,0,0,0,0,234.66,235.25,234.77,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
4.6018122,235.05,0,0,0,0,1,50.02,-1,1.2,0.8,0.9,1.8,1.7,1.7,1.5,0,0,0,0,234.83,235.38,234.96,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0244663,235.29,0,0,0,0,1,50.02,-1,0.6,2,1.2,0.8,1.7,1.7,1.5,0,0,0,0,235.07,235.6,235.25,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
5.44252,235.67,0,0,0,0,1,50.02,-1,0.6,2,1.2,0.8,1.7,1.7,1.5,0,0,0,0,235.41,236,235.63,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
5.8362399,235.96,0,0,0,0,1,50.02,-1,0,1.4,0.5,0.8,1.7,1.7,1.6,0,0,0,0,235.71,236.35,235.87,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2371517,236.2,0,0,0,0,1,50.02,-1,0,1.4,0.5,4,1.7,1.7,1.6,0,0,0,0,235.93,236.57,236.13,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
